"marca_tiempo";"voc";"presion sonora";"humedad_relativa_interior";"temperatura_interior";"iluminancia_interior";"pm2.5";"co2_interior";"dispositivos_contectados_wifi";"energia_ventilador_techo";"energia_iluminacion";"energia_enchufes";"energia_agua_refrigerada";"energia_ventilador_ahu";"suministro_aire";"posicion_damper";"setpoint_temperatura";"posicion_valvula_bobina_enfriamiento";"comando_valvula_bobina_enfriamiento";"velocidad_ventilador_ahu";"temperatura_ambiental_offcoil";"setpoint_temperatura_offcoil";"presion_filtro";"humedad_suministro_aire";"presion_suministro_aire";"temperatura_suministro_aire";"presion_barametrica";"temperatura_exterior";"radiacion_solar_global_horizontal";"direccion_viento";"velocidad_viento";"co2_exterior";"humedad_relativa_exterior";"ocupantes_presencia";"ocupantes_conteo"
2021-12-10 22:00:00;21,96666718;62,04000092;83,39433289;26,91633415;0;5,266666889;421;2;0;0,2002;0;0;0,01758;60,66123199;100;26,5;7,798360348;0;0;24,27861214;17;0;95,07312775;0;25,17242813;1006,299988;25;0;161,8209534;0,943103433;455,5973816;100;1;2
2021-12-10 22:05:00;22,16666603;62,00999832;83,45700073;26,90633392;0;4,933333397;421,9666748;2;0;0;0;0;0,01758;65,00253296;100;26,5;7,798360348;0;0;24,27861214;17;0;95,07312775;0;25,17242813;1006,400024;25,02479362;0;26,0198555;1,399917364;456,2987671;100;1;2
2021-12-10 22:10:00;22,63333321;62,02999878;83,5043335;26,90566635;0;4,833333492;421,0333252;2;0;0;0,16309;0;0,01562;62,62011337;100;26,5;7,798360348;0;0;24,27861214;17;0;95,07312775;0;25,17242813;1006,400024;25,08729362;0;4,894854069;1,42491734;457,7010803;100;1;2
2021-12-10 22:15:00;21,7142849;61,24642944;83,612854;26,8764286;0;5,357142925;422,0714417;2;0;0;0,04102;0;0,01758;58,36644745;100;26,5;7,798360348;0;0;24,27861214;17;0;95,07312775;0;25,17242813;1006,400024;25,10000038;0;295,691803;1,656338573;456,8491821;100;1;2
2021-12-10 22:20:00;20;62,00333405;83,60199738;26,88733292;0;5,066666603;421,6666565;2;0;0,2041;0,08105;0;0,01758;60,66123199;100;26,5;7,798360348;0;0;24,27861214;17;0;95,07312775;0;25,17242813;1006,598877;25;0;10,7068119;2,090686321;455,9055481;100;1;2
2021-12-10 22:25:00;20;61,99666595;83,53866577;26,9090004;0;5,133333206;421,2333374;2;0;0;0,12109;0;0,01758;58,27077103;100;26,5;7,798360348;0;0;24,27861214;17;0;95,07312775;0;25,17242813;1006,679688;25;0;22,95119095;1,488513827;455,5056152;100;1;2
2021-12-10 22:30:00;20;62,09999847;83,56266785;26,91233253;0;5,366666794;421,6666565;2;0;0;0;0;0,01562;65,00300598;100;26,5;7,798360348;0;0;24,27861214;17;0;95,07312775;0;25,17242813;1006,700012;25;0;5,202964306;1,110000014;455,3025208;100;1;2
2021-12-10 22:35:00;20;62,0633316;83,62433624;26,90333366;0;5,066666603;420,3999939;2;0;0;0,20215;0;0,01758;55,8002243;100;26,5;7,798360348;0;0;24,27861214;17;0;95,07312775;0;25,17242813;1006,700012;24,99835587;0;14,77839375;1,78758347;454,9806519;100;1;2
2021-12-10 22:40:00;20,03448296;62,01724243;83,76517487;26,86861992;0;5,689655304;422,1379395;2;0;0,20117;0;0;0,01758;60,58078384;100;26,5;7,798360348;0;0;24,27861214;17;0;95,07312775;0;25,17242813;1006,700012;24,9016552;0;34,77872086;1,629503489;455,1025391;100;1;2
2021-12-10 22:45:00;20,63333321;62,00999832;83,73699951;26,88966751;0;5,300000191;426,3666687;2;0;0;0,2041;0;0,01758;55,87911224;100;26,5;7,798360348;0;0;24,27861214;17;0;95,07312775;0;25,17242813;1006,700012;24,90110779;0;299,1768494;0,355206281;455,0992432;100;1;2
2021-12-10 22:50:00;21,16666603;62,0233345;83,71566772;26,89933395;0;5,433333397;425,5;2;0;0;0;0;0,01562;65,08362579;100;26,5;7,798360348;0;0;24,27861214;17;0;95,07312775;0;25,17242813;1006,599976;24,89999962;0;14,07568073;1,26620841;455,495697;100;1;2
2021-12-10 22:55:00;21,93333244;61,91999817;83,76366425;26,89266586;0;5,800000191;427,2666626;2;0;0;0,20313;0;0,01758;65,08514404;100;26,5;7,798360348;0;0;24,27861214;17;0;95,07312775;0;25,17242813;1006,599976;24,89999962;0;222,2485046;0,369528562;454,1328735;100;1;2
2021-12-10 23:00:00;23,63333321;61,96333313;83,82366943;26,88066673;0;5,566666603;428,8666687;2;0;0,2041;0,00098;0;0,01758;60,58141327;100;26,5;7,798360348;0;0;24,27861214;17;0;95,07312775;0;25,17242813;1006,599976;24,89999962;0;116,4564972;0,259704292;454,8894958;100;1;2
2021-12-10 23:05:00;22,4642849;61,23928452;83,77285767;26,90392876;0;5,464285851;430,25;2;0,200927;0;0;0;0,01758;60,5819397;100;26,5;7,798360348;0;0;24,27861214;17;0;95,07312775;0;25,17242813;1006,601624;25;0;323,0814514;0,180000007;454,3061829;100;1;2
2021-12-10 23:10:00;20;62,03333282;83,84166718;26,88966751;0;5,833333492;428,9333191;2;0;0;0,20019;0;0,01562;60,66123199;100;26,5;7,798360348;0;0;24,27861214;17;0;95,07312775;0;25,17242813;1006,599976;25;0;353,6958008;0,946212769;456,0725403;100;1;2
2021-12-10 23:15:00;20;62,00666809;83,8690033;26,88933372;0;5,933333397;431,1333313;2;0;0,20117;0;0;0,01758;69,2218399;100;26,5;7,798360348;0;0;24,27861214;17;0;95,07312775;0;25,17242813;1006,599976;25;0;10,45366955;0,239999995;454,5061646;100;1;2
2021-12-10 23:20:00;20;61,97333145;84,08000183;26,8409996;0,026666667;5,666666508;432,6000061;2;0;0;0,20313;0;0,01758;65,00662231;100;26,5;7,798360348;0;0;24,27861214;17;0;95,07312775;0;25,17242813;1006,400024;25;0;355,239563;0,438736141;454,9059448;100;1;2
2021-12-10 23:25:00;20;61,98333359;83,92633057;26,89066696;1,723333359;6,266666889;428,2333374;2;0;0;0;0;0,01562;60,66123199;100;26,5;7,798360348;0;0;24,27861214;17;0;95,07312775;0;25,27181435;1006,400024;25;0;323,3253784;0,850000024;454,5126648;100;1;2
2021-12-10 23:30:00;20,03333282;61,95333481;83,99700165;26,87533379;4,710000038;6,266666889;429,6000061;2;0;0;0,2041;0;0,01758;55,87927628;100;26,5;7,798360348;0;0;24,27861214;17;0;95,07312775;0;25,27181435;1006,400024;25;0;16,30802345;0,590826631;454,7093201;100;1;2
2021-12-10 23:35:00;20,65517235;62,05862045;84,08138275;26,86758614;7,675861835;6,206896782;428,0344849;2;0;0,2002;0;0;0,01758;65,08429718;100;26,5;7,798360348;0;0;24,27861214;17;0;95,07312775;0;25,27181435;1006,599976;25;0;355,4434509;1,160120249;454,1129456;100;1;2
2021-12-10 23:40:00;21,23333359;62,05333328;83,96932983;26,9003334;10,57999992;6,433333397;427,8333435;2;0;0;0,20019;0;0,01562;60,73458481;100;26,5;7,798360348;0;0;24,27861214;17;0;95,07312775;0;25,27181435;1006,400024;25,10000038;0;61,7602005;0,289336681;454,7027283;100;1;2
2021-12-10 23:45:00;22,39999962;62,23333359;83,97000122;26,91799927;14,15333366;6,933333397;426,9666748;2;0;0;0,00098;0;0,01758;60,73535919;100;26,5;7,798360348;0;0;24,27861214;17;0;95,07312775;0;25,27181435;1006,400024;25;0;39,72888184;1,18297267;453,9294434;100;1;1
2021-12-10 23:50:00;23,53333282;62,28333282;84,14466858;26,88400078;18,31999969;7;430,2666626;2;0;0;0;0;0,01758;65,15834808;100;26,5;7,798360348;0;0;24,27861214;17;0;95,07312775;0;25,27181435;1006,398376;25,00165939;0;357,8815918;0,899999976;456,2854919;100;1;1
2021-12-10 23:55:00;23,70000076;62,24000168;84,04433441;26,923666;22,70666695;6,699999809;430,7999878;2;0;0,20215;0,2041;0;0,01562;65,15834808;100;26,5;7,798360348;0;0;24,27861214;17;0;95,07312775;0;25,27181435;1006,398376;25,10000038;0;349,5759277;0,874864578;454,7027283;100;0;0
2021-12-13 00:00:00;20,6785717;61,46071243;82,65642548;27,05785751;60,7857132;8,357142448;420,6071472;1;0;0,20215;0,2041;0;0,01562;55,79986954;100;26,5;7,798360348;0;0;26,21267319;17;0;87,98841095;0;27,17355347;1004,299988;25,79999924;0;291,9036865;0,439999998;464,8951721;100;0;0
2021-12-13 00:05:00;20;62,32666779;78,00566864;26,95633316;71,04333496;6,233333111;423,0666809;1;0;0;0;0;0,02149;50,56126022;100;26,5;7,798360348;0;0;26,21267319;17;0;88,48468781;0;27,17355347;1004,299988;25,79999924;0;321,4623413;0,51801604;464,6951294;100;0;0
2021-12-13 00:10:00;20;62,44333267;74,75800323;26,70000076;81,08000183;4,233333111;426,9333191;1;0;0;0;0;0,02148;50,47327805;100;26,5;7,798360348;0;0;26,21267319;17;0;88,48468781;0;27,17355347;1004,299988;25,79999924;0;76,20413971;0,320004374;464,4953003;100;0;0
2021-12-13 00:15:00;20;62,36333466;73,73366547;26,24799919;118,0299988;3,5;425,7000122;1;0,200928;0;0,20508;0;0,01953;60,58062363;100;26,5;7,798360348;0;0;26,21267319;17;0;88,48468781;0;27,17355347;1004,198364;25,79999924;0;347,2961121;0,192653269;465,1672058;100;0;0
2021-12-13 00:20:00;20;62,61000061;73,0063324;25,99766731;137,0866699;2,666666746;428,4333191;1;0;0;0;0;0,02149;55,8002243;100;26,5;7,798360348;0;0;26,21267319;17;0;88,48468781;0;27,17355347;1004,198914;25,79999924;0;338,5198669;0,149387166;464,8918457;100;0;0
2021-12-13 00:25:00;20;62,81379318;71,56931305;26,1086216;160,1689606;2,344827652;431,7241516;1;0;0;0,20703;0;0,02148;55,8002243;100;26,5;7,798360348;0;0;26,21267319;17;0;88,48468781;0;27,17355347;1004,099976;25,60000038;0;268,1911011;0,239999995;464,87854;100;0;0
2021-12-13 00:30:00;20;62,40999985;69,67033386;26,59233284;172,9700012;2,233333349;434,4333191;1;0;0;0;0;0,02149;60,49346924;100;26,5;7,798360348;0;0;26,21267319;17;0;88,48468781;0;27,17355347;1004,198364;25,60000038;0;93,53568268;0,140000001;463,6956787;100;0;0
2021-12-13 00:35:00;20;61,83333206;68,92299652;26,86666679;180,0299988;2,266666651;434,0666809;1;0;0;0,20117;0;0,02148;55,8002243;100;26,5;7,798360348;0;0;26,06352806;17;0;88,48468781;0;27,17355347;1004,200012;25,60000038;0;107,4902725;0,200000003;465,0753174;100;0;0
2021-12-13 00:40:00;20;62,27999878;68,31500244;27,09766579;190,5966644;2;433,6333313;1;0;0;0;0;0,02148;50,56143951;100;26,5;7,798360348;0;0;26,06352806;17;0;88,48468781;0;27,17355347;1004,099976;25,60000038;0;317,3976135;0,408945739;463,9088135;100;0;0
2021-12-13 00:45:00;20;61,75666809;67,94132996;27,20633316;205,7700043;2,299999952;432,9666748;1;0;0;0,20606;0;0,01954;55,61417389;100;26,5;7,798360348;0;0;26,06352806;17;0;88,48468781;0;27,17355347;1004,200012;25,55082512;0;152,2800598;0,272113949;464,2854614;100;0;0
2021-12-13 00:50:00;20,16666603;62,08666611;67,59400177;27,30666733;194,3733368;1,933333278;431,2999878;1;0;0;0;0;0,02148;50,56161499;100;26,5;7,798360348;0;0;26,06352806;17;0;88,48468781;0;27,17355347;1004,099976;25,5;0;285,6739807;0,444356173;465,0883789;100;0;0
2021-12-13 00:55:00;20;61,30714417;67,34606934;27,34571457;194,6928558;1,892857194;430,1071472;1;0;0;0,20508;0;0,02148;55,71232986;100;26,5;7,798360348;0;0;26,06352806;17;0;88,48468781;0;27,17355347;1004,198364;25,39999962;0;162,5440369;0,178350046;464,0037537;100;0;0
2021-12-13 01:00:00;20;61,67333221;67,23100281;27,35933304;194,2200012;2,099999905;428,5666809;1;0;0;0,00097;0;0,02149;50,47319031;100;26,5;7,798360348;0;0;26,06352806;17;0;88,48468781;0;27,17355347;1004,200012;25,29999924;0;145,6512756;0,146080047;464,2909241;100;0;0
