timestamp;voc [ppb];sound_pressure_level [dba];indoor_relative_humidity [%];air_temperature [Celsius];illuminance [lux];pm2.5 [mu_g/m3];indoor_co2 [ppm];wifi_connected_devices [number];ceiling_fan_energy [kWh];lighting_energy [kWh];plug_load_energy [kWh];chilled_water_energy [kWh];ahu_fan_energy [kWh];supply_air_flow [CMH];damper_position [%];temp_setpoint [Celsius];cooling_coil_valve_position [%];cooling_coil_valve_command [%];ahu_fan_speed [Hz];offcoil_air_temp [Celsius];offcoil_temp_setpoint [Celsius];pressure_across_filter [Pa];supply_air_humidity [%];supply_air_pressure [Pa];supply_air_temperature [Celsius];baromatic_pressure [hPa];dry_bulb_temp [Celsius];global_horizontal_solar_radiation [W/m2];wind_direction [Degree];wind_speed [m/s];outdoor_co2 [ppm];outdoor_relative_humidity [%];occupant_presence [binary];occupant_count [number]
2021-09-07 02:00 +08:00;20;57,80333328;58,92200089;26,94300079;112,7433319;2,266666651;459,9333191;1;0,00293;0,0011597;0,046875;0;0,01562;0;100;25;1,611046553;0;0;24,47253799;16,5;0;93,08337402;0;26,08903885;1004,398376;26,60162163;0;163,8212585;0,101945542;463,3120422;97,50324249;0;0
2021-09-07 02:05 +08:00;20;57,70714188;58,94142914;26,94428635;112,8214264;2,678571463;462,8928528;1;0,00293;0,0012817;0,047852;0;0,01465;0;100;25;1,611046553;0;0;24,47253799;16,5;0;93,08337402;0;25,82501793;1004,400024;26,60000038;0,016327905;108,8235245;0,200000003;463,7022095;97,69999695;0;0
2021-09-07 02:10 +08:00;20;58,72758484;58,85137939;26,95517159;114,4000015;4,379310131;466,9655151;1;0,002929;0,0012207;0,048828;0;0,01563;0;100;25;1,611046553;0;0;24,47253799;16,5;0;93,08337402;0;25,82501793;1004,400024;26,60000038;0;1,500844002;0,112276658;463,0991516;98,09999847;0;0
2021-09-07 02:15 +08:00;20;58,7733345;58,76966476;26,93799973;112,5500031;3,633333445;468,5;1;0,00293;0,0012818;0,047852;0;0,01464;0;100;25;1,611046553;0;0;24,62446976;16,5;0;93,08337402;0;25,82501793;1004,398376;26,60000038;0;329,7065125;0,237870991;464,2887878;97,90000153;0;0
2021-09-07 02:20 +08:00;20;58,91999817;58,49966812;26,9489994;118,9100037;2,733333349;466,9333191;2;0,00293;0,0012207;0,048828;0;0,01563;0;100;25;1,611046553;0;0;24,62446976;16,5;0;93,08337402;0;25,93286324;1004,299988;26,60000038;0;338,9004211;0,169988349;464,4790344;98,09999847;0;0
2021-09-07 02:25 +08:00;20;57,79666519;58,5933342;26,9090004;119,3600006;2,533333302;469,7000122;1;0,002929;0,0012817;0,047851;0;0,01465;0;100;25;1,611046553;0;0;24,62446976;16,5;0;93,08337402;0;25,93286324;1004,350098;26,60000038;0;185,5364075;0,135129824;464,2727661;98,09999847;0;0
2021-09-07 02:30 +08:00;20;57,28666687;58,64899826;26,90133286;119,6900024;2,733333349;474,7666626;2;0,00293;0,0012207;0,048828;0;0,01562;0;100;25;1,611046553;0;0;24,62446976;16,5;0;93,08337402;0;25,93286324;1004,299988;26,60000038;0;92,31917572;0,07000915;463,1219788;98,10001373;0;0
2021-09-07 02:35 +08:00;20;56,96666718;58,69599915;26,87566757;122,0733337;2,400000095;478,9666748;1;0,00293;0,0012817;0,047852;0;0,01465;0;100;25;1,611046553;0;0;24,62446976;16,5;0;93,08337402;0;26,14570808;1004,299988;26,60000038;0;269,3999939;0,071941637;463,4957275;98,19999695;0;0
2021-09-07 02:40 +08:00;20;58,88333511;58,84266663;26,85099983;128,0899963;2,666666746;479,2999878;1;0,002929;0,0012207;0,047852;0;0,01465;0;100;25;1,611046553;0;0;24,62446976;16,5;0;93,08337402;0;26,14570808;1004,299988;26,5;0;84,5;0,140000001;463,8955688;98,30000305;0;0
2021-09-07 02:45 +08:00;20;57,81666565;59,11533356;26,84233284;129,1166687;3,333333254;475,2000122;1;0,00293;0,0012818;0,048828;0;0,01563;0;100;25;1,611046553;0;0;24,62446976;16,5;0;93,08337402;0;26,04645348;1004,299988;26,5;0;350,1734924;0,277730167;463,2893677;98,5;0;0
